GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	7.95647224142352e-16	7.95647224142352e-16	+1	DRD3,DRD4,HTR1A,DRD2,DRD1,ADRA2A,ADRB1,CHRM4,CHRM5,HTR1D,HTR2A,MC4R,MTNR1B,RGS2,ADORA2A,GHRH,GNAS,HTR2B,HRH1,MTNR1A,ADRB2,CNR1,GABBR1,HTR1B,OPRM1,CHRM2,CRHR2,ADCY8,ADRA1A,CHRM1,CCL2,UCN3,GNA11,GPR3
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	7.024326240377142e-13	7.024326240377142e-13	+1	DRD3,DRD4,HTR1A,DRD2,DRD1,ADRA2A,ADRB1,CHRM4,CHRM5,HTR1D,MC4R,RGS2,ADORA2A,GHRH,GNAS,MTNR1A,ADRB2,CNR1,GABBR1,HTR1B,OPRM1,CHRM2,CRHR2,ADCY8,ADRA1A,CHRM1,UCN3,GNA11,GPR3
GO:0050804	modulation of chemical synaptic transmission	7.738906243710267e-11	7.738906243710267e-11	+1	DRD3,NRXN1,GRIK1,GRIK2,GRIK3,GRIK5,GRIN2B,DRD2,DRD1,APOE,BDNF,CACNA1A,CDH2,CHRNA7,DLG4,DLGAP1,DLGAP3,IL1B,DTNBP1,TNF,CRHR2,ADCY8,ADRA1A,DLGAP2,NTRK2,CCL2,KCTD13,PRRT2,CBLN1
GO:0099177	regulation of trans-synaptic signaling	8.597769099327205e-11	8.597769099327205e-11	+1	DRD3,NRXN1,GRIK1,GRIK2,GRIK3,GRIK5,GRIN2B,DRD2,DRD1,APOE,BDNF,CACNA1A,CDH2,CHRNA7,DLG4,DLGAP1,DLGAP3,IL1B,DTNBP1,TNF,CRHR2,ADCY8,ADRA1A,DLGAP2,NTRK2,CCL2,KCTD13,PRRT2,CBLN1
GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	5.081664058264115e-10	5.081664058264115e-10	+1	DRD3,DRD4,HTR1A,DRD2,ADRA2A,CHRM4,CHRM5,HTR1D,RGS2,MTNR1A,GABBR1,HTR1B,OPRM1,CHRM2,ADCY8,CHRM1
GO:0007610	behavior	2.1169038783283423e-8	2.1169038783283423e-8	+1	DRD3,NRXN1,DRD4,GRIN2B,HTR1A,DRD2,DRD1,ADRB1,APOE,BDNF,CHRNA7,DLG4,MC4R,PSEN1,SLC6A4,CHRNA4,COMT,GHRH,HTR2B,SCN2A,MTNR1A,OPRM1,ADCY8,NTRK2,CCND2,WFS1
GO:0015844	monoamine transport	2.225480891958766e-8	2.225480891958766e-8	+1	DRD3,SLC6A3,DRD4,HTR1A,DRD2,DRD1,ADRA2A,SLC6A2,SLC6A4,CHRNA4,DTNBP1,HTR1B,SLC22A3,TOR1A
GO:1903350	response to dopamine	1.1410275211591863e-7	1.1410275211591863e-7	+1	DRD3,DRD4,HTR1A,DRD2,DRD1,HTR1D,HTR2A,GNAS,HTR2B,DTNBP1,HTR1B,GNA11
GO:1903351	cellular response to dopamine	1.1410275211591863e-7	1.1410275211591863e-7	+1	DRD3,DRD4,HTR1A,DRD2,DRD1,HTR1D,HTR2A,GNAS,HTR2B,DTNBP1,HTR1B,GNA11
GO:0050890	cognition	1.6514557483093814e-7	1.6514557483093814e-7	+1	DRD3,NRXN1,GRIN2B,DRD2,DRD1,APOE,BDNF,CHRNA7,DLG4,PSEN1,CHRNA4,COMT,GNAS,SCN2A,SETD5,TNF,ADCY8,NTRK2,CCND2,JAKMIP1
GO:0051583	dopamine uptake involved in synaptic transmission	3.401140728372513e-7	3.401140728372513e-7	+1	DRD3,SLC6A3,DRD4,DRD2,DRD1,SLC6A2,TOR1A
GO:0051934	catecholamine uptake involved in synaptic transmission	3.401140728372513e-7	3.401140728372513e-7	+1	DRD3,SLC6A3,DRD4,DRD2,DRD1,SLC6A2,TOR1A
GO:0090494	dopamine uptake	3.426937440626951e-7	3.426937440626951e-7	+1	DRD3,SLC6A3,DRD4,DRD2,DRD1,SLC6A2,SLC22A3,TOR1A
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	5.262281314848438e-7	5.262281314848438e-7	+1	DRD3,DRD2,DRD1,ADRA2A,HTR2A,HTR2B,HRH1,ESR1,OPRM1,CHRM2,ADRA1A,CCKBR,CHRM1,GPR20,GNA11
GO:0090493	catecholamine uptake	6.73125470132981e-7	6.73125470132981e-7	+1	DRD3,SLC6A3,DRD4,DRD2,DRD1,SLC6A2,SLC22A3,TOR1A
GO:0001504	neurotransmitter uptake	0.0000010540102814823147	0.0000010540102814823147	+1	DRD3,SLC6A3,DRD4,SNAP25,DRD2,DRD1,SLC6A2,SLC6A4,SLC22A3,TOR1A
GO:0098810	neurotransmitter reuptake	0.0000012113423677613513	0.0000012113423677613513	+1	DRD3,SLC6A3,DRD4,DRD2,DRD1,SLC6A2,SLC6A4,SLC22A3,TOR1A
GO:0071867	response to monoamine	0.000001936291445992359	0.000001936291445992359	+1	DRD3,DRD4,HTR1A,DRD2,DRD1,HTR1D,HTR2A,GNAS,HTR2B,DTNBP1,HTR1B,GNA11
GO:0071870	cellular response to catecholamine stimulus	0.000001936291445992359	0.000001936291445992359	+1	DRD3,DRD4,HTR1A,DRD2,DRD1,HTR1D,HTR2A,GNAS,HTR2B,DTNBP1,HTR1B,GNA11
GO:0071868	cellular response to monoamine stimulus	0.000001936291445992359	0.000001936291445992359	+1	DRD3,DRD4,HTR1A,DRD2,DRD1,HTR1D,HTR2A,GNAS,HTR2B,DTNBP1,HTR1B,GNA11
