,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
20,KEGG,KEGG:04080,Neuroactive ligand-receptor interaction,2.6172853034771887e-19,True,Neuroactive ligand-receptor interaction,339,198,45,7987,0.22727272727272727,0.13274336283185842,query_1,['KEGG:00000'],"['ADORA2A', 'ADRA1A', 'ADRA2A', 'ADRB1', 'ADRB2', 'BDKRB2', 'CCKBR', 'CHRM1', 'CHRM2', 'CHRM4', 'CHRM5', 'CHRNA4', 'CHRNA7', 'CNR1', 'CRHR2', 'DRD1', 'DRD2', 'DRD3', 'DRD4', 'GABBR1', 'GABRA1', 'GABRA6', 'GABRG2', 'GHRH', 'GRIA3', 'GRIA4', 'GRIK1', 'GRIK2', 'GRIK3', 'GRIK5', 'GRIN2B', 'HRH1', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR2A', 'HTR2B', 'MC4R', 'MTNR1A', 'MTNR1B', 'OPRM1', 'OXTR', 'POMC', 'TAAR1', 'ucn3']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
68,KEGG,KEGG:04020,Calcium signaling pathway,1.1234954609925869e-11,True,Calcium signaling pathway,239,198,30,7987,0.15151515151515152,0.12552301255230125,query_1,['KEGG:00000'],"['ADCY8', 'ADORA2A', 'ADRA1A', 'ADRB1', 'ADRB2', 'ATP2A3', 'BDKRB2', 'CACNA1A', 'CACNA1C', 'CALML3', 'CALML5', 'CCKBR', 'CHRM1', 'CHRM2', 'CHRM5', 'CHRNA7', 'DRD1', 'EGF', 'GNA11', 'GNAS', 'HRH1', 'HTR2A', 'HTR2B', 'NOS2', 'NOS3', 'NTRK2', 'NTRK3', 'OXTR', 'RYR3', 'VEGFA']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
86,KEGG,KEGG:04024,cAMP signaling pathway,2.373931194873869e-10,True,cAMP signaling pathway,216,198,27,7987,0.13636363636363635,0.125,query_1,['KEGG:00000'],"['ADCY8', 'ADORA2A', 'ADRB1', 'ADRB2', 'ATP2A3', 'BDNF', 'BRAF', 'CACNA1C', 'CALML3', 'CALML5', 'CHRM1', 'CHRM2', 'DRD1', 'DRD2', 'EP300', 'GABBR1', 'GNAS', 'GRIA3', 'GRIA4', 'GRIN2B', 'HCN4', 'HTR1A', 'HTR1B', 'HTR1D', 'OXTR', 'PDE10A', 'POMC']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
133,KEGG,KEGG:04726,Serotonergic synapse,2.4365655632163685e-08,True,Serotonergic synapse,113,198,18,7987,0.09090909090909091,0.1592920353982301,query_1,['KEGG:00000'],"['BRAF', 'CACNA1A', 'CACNA1C', 'CYP2D6', 'GNAS', 'GNG8', 'HRAS', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR2A', 'HTR2B', 'HTR3A', 'HTR3C', 'HTR3E', 'SLC6A4', 'TPH1', 'TPH2']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
196,KEGG,KEGG:04742,Taste transduction,1.6694446431268113e-06,True,Taste transduction,85,198,14,7987,0.0707070707070707,0.16470588235294117,query_1,['KEGG:00000'],"['ADCY8', 'CACNA1A', 'CACNA1C', 'GABBR1', 'GABRA1', 'GABRA6', 'HCN4', 'HTR1A', 'HTR1B', 'HTR1D', 'HTR3A', 'HTR3C', 'HTR3E', 'SCN2A']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
197,KEGG,KEGG:04724,Glutamatergic synapse,1.670683116445997e-06,True,Glutamatergic synapse,114,198,16,7987,0.08080808080808081,0.14035087719298245,query_1,['KEGG:00000'],"['ADCY8', 'CACNA1A', 'CACNA1C', 'DLG4', 'DLGAP1', 'GNAS', 'GNG8', 'GRIA3', 'GRIA4', 'GRIK1', 'GRIK2', 'GRIK3', 'GRIK5', 'GRIN2B', 'SLC1A1', 'SLC1A2']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
201,KEGG,KEGG:04728,Dopaminergic synapse,1.9609823257372415e-06,True,Dopaminergic synapse,131,198,17,7987,0.08585858585858586,0.1297709923664122,query_1,['KEGG:00000'],"['CACNA1A', 'CACNA1C', 'CALML3', 'CALML5', 'CALY', 'COMT', 'DRD1', 'DRD2', 'DRD3', 'DRD4', 'GNAS', 'GNG8', 'GRIA3', 'GRIA4', 'GRIN2B', 'PPP2R2C', 'SLC6A3']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
279,KEGG,KEGG:05033,Nicotine addiction,4.088341911412601e-05,True,Nicotine addiction,40,198,9,7987,0.045454545454545456,0.225,query_1,['KEGG:00000'],"['CACNA1A', 'CHRNA4', 'CHRNA7', 'GABRA1', 'GABRA6', 'GABRG2', 'GRIA3', 'GRIA4', 'GRIN2B']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
292,KEGG,KEGG:04713,Circadian entrainment,6.656349310187587e-05,True,Circadian entrainment,97,198,13,7987,0.06565656565656566,0.13402061855670103,query_1,['KEGG:00000'],"['ADCY8', 'CACNA1C', 'CALML3', 'CALML5', 'GNAS', 'GNG8', 'GRIA3', 'GRIA4', 'GRIN2B', 'MTNR1A', 'MTNR1B', 'NOS1AP', 'RYR3']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
304,KEGG,KEGG:04015,Rap1 signaling pathway,9.565717873839252e-05,True,Rap1 signaling pathway,210,198,19,7987,0.09595959595959595,0.09047619047619047,query_1,['KEGG:00000'],"['ADCY8', 'ADORA2A', 'BRAF', 'CALML3', 'CALML5', 'CNR1', 'CSF1', 'CTNND1', 'DRD2', 'EFNA5', 'EGF', 'GNAS', 'GRIN2B', 'HRAS', 'KIT', 'MAGI3', 'MAP2K6', 'RAP1GAP', 'VEGFA']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
