"__mclCluster","EnrichmentMap::Colouring (OCD Initial Enrichment Results)","EnrichmentMap::ES (OCD Initial Enrichment Results)","EnrichmentMap::fdr_qvalue (OCD Initial Enrichment Results)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (OCD Initial Enrichment Results)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (OCD Initial Enrichment Results)","EnrichmentMap::pvalue (OCD Initial Enrichment Results)","name","NumChildren","NumDescendents","selected","shared name"
"12","0.9918638293476418",,"0.008136170652358197","GO:0050731
",,"CSF2|EFNA1|IL20|IL24|NCAPG2|MIR19B2|RICTOR|MIR19B1|ADRA1A|TP53|NOX4|MLST8|CCK|FLT3|GRM5|IL15|PARP14|EFNA5|IL13|IL12A|RELN|DOK7|STAP2|ERCC6|EREG|CSHL1|PTPRC|CSH2|IGF1|CD40|IL2|AC127029.3|DLG4|IGF2|IL4|ISL1|LIF|CASS4|ADORA1|ITGB3|PECAM1|KITLG|STAT3|SRCIN1|IL6|IL23A|CLCF1|EPO|EGF|HCLS1|FGF7|IQGAP1|MIR19A|FGF10|TNFSF18|CD80|SEMA4D|GPRC5B|NTRK2|NEDD9|PTPRJ|ADRA2A|IL18|BANK1|ANGPT1|LEP|HES5|AGT|NRG1|IL34|ICAM1|NCF1|TEC|ADAM17|IL6R|IL21|TGFA|TNF|HPX|IL3|PTPN11|IFNG|IL31RA|PDGFB|SYK|DGKQ|TSLP|ADNP|LRP4|ARHGEF2|UNC119|ARRB2|GATA1|ABI1|ENPP2|TNFRSF14|HAX1|IL23R|SOCS3|TNFRSF1A|DVL2|VEGFB|CSPG4|HSF1|BTC|CD4|FYN|AFAP1L2|CD74|HGF|CD36|ERBB4|CD44|ADIPOQ|VTN|FGF8|NEURL1|CSF1R|EPGN|GAS6|LACRT|PARP9|ERBB3|PRNP|FGFR3|NTF3|MIR221|AREG|LRRK1|LILRA5|YES1|LRP8|ALKAL2|PTPN1|ALKAL1|DLG3|BMP6|IFNL1|HDAC2|SRC|VEGFA|IL11|IL12B|TREM2|JAK2|GHRL|ABL1|NRP1|MTOR|TNFRSF18|OSM|KIT|IFNA2|HES1|MIF|HTR2A|TDGF1|ACE|ACVR1|GREM1|LYN|GH1|CNTN1|RIPK2|CCL5|CD24|TNK2|WNT3A|CD3E|ANGPT4|ITGA5|STAP1|DOCK3|CNTF|TAL1|CRLF1|PIBF1|PTK6|ARL2BP|EHD4|THBS4|AC083977.1|CSF3|FBXW7|CD81|GHR|HBEGF|BDNF|IL5|IL6ST|GH2|PTK2B|CSH1|PAK2|EPHA4|CTF1|FCGR1A","positive regulation of peptidyl-tyrosine phosphorylation","197","ENR","GO:0050731","1.0","0.008136170652358197","GO:0050731",,,"true","GO:0050731"
"12","0.999702240940644",,"2.9775905935606095E-4","GO:0061098
",,"EFNA1|ALKAL1|DLG3|NCAPG2|SRC|UNC119|ADRA1A|NOX4|ABI1|GRM5|GPRC5B|NTRK2|GHRL|NEDD9|RELN|DOK7|ERCC6|ADRA2A|EREG|ACE|GREM1|DVL2|AGT|CCL5|CD24|WNT3A|DLG4|NRG1|STAP1|IL34|BTC|DOCK3|FYN|TAL1|NCF1|AFAP1L2|ADAM17|CASS4|ADORA1|SRCIN1|FBXW7|NEURL1|CSF1R|EPGN|GAS6|TGFA|ERBB3|PRNP|AREG|EGF|HBEGF|BDNF|PDGFB|LILRA5|LRP8|PAK2|EPHA4|ALKAL2|FCGR1A|PTPN1","positive regulation of protein tyrosine kinase activity","60","ENR","GO:0061098","1.0","2.9775905935606095E-4","GO:0061098",,,"true","GO:0061098"
"12","0.996304276151585",,"0.00369572384841501","GO:0061097
",,"EFNA1|ALKAL1|ZFYVE28|RAP2B|DLG3|NCAPG2|SRC|UNC119|ADRA1A|LILRB4|NOX4|ABI1|GRM5|APP|CHMP6|GPRC5B|GGNBP2|RAP2C|NTRK2|GHRL|SH3BP5L|NEDD9|RELN|DOK7|SOCS4|ERCC6|ADRA2A|EREG|ZGPAT|ACE|CAV1|GREM1|PTPRC|IBTK|PTPN2|DVL2|GPRC5A|AGT|CCL5|CD24|WNT3A|DLG4|NRG1|STAP1|IL34|BTC|DOCK3|FYN|TAL1|NCF1|AFAP1L2|PTK6|SHC1|ADAM17|CASS4|MIR147B|PSEN1|ADORA1|SRCIN1|FBXW7|NEURL1|DUSP22|CSF1R|EPGN|CBLB|SOCS5|GAS6|TGFA|MVP|RACK1|ERBB3|PRNP|HYAL2|SNX6|THY1|NCK2|AREG|EGF|HBEGF|SH3BP5|VPS25|BDNF|PDGFB|LILRA5|TSG101|CBL|LRP8|PAK2|EPHA4|ERRFI1|ALKAL2|FCGR1A|CEP43|CBLC|PTPN1","regulation of protein tyrosine kinase activity","95","ENR","GO:0061097","1.0","0.00369572384841501","GO:0061097",,,"true","GO:0061097"
"7","0.9987217327663084",,"0.0012782672336916299","GO:1904062
",,"PPARGC1A|DAPK1|CNIH3|PRKD1|RAMP3|STIM1|PSEN2|EDN3|IL13|MIR21|SLN|CAPN3|ATP7A|RELN|TMSB4X|NLGN3|TRDN|ABCC8|CHP1|CHRFAM7A|ATP1A2|CACNG2|MAPK8IP2|OPRL1|FGF13|KEL|FMR1|JSRP1|LIME1|JPH2|ARC|CXCR3|PDE4B|AL121845.2|AL121845.3|DLG4|GRIA4|HSPA2|SLC43A1|EPHB2|PTPN22|SLC43A2|KCNAB1|NLGN2|JPH4|SHISA7|KCNS2|KCNMB1|HECW1|NEDD4L|ATP2B4|SPHK2|PDE4D|NEDD4|EPO|RGN|MIR212|UTRN|SELENON|LRRC38|CORO1A|DPP10|ACE2|MEF2C|MINK1|CACNG7|SCN1B|CHD7|PRKACA|XCL1|GRIN2A|RGS9|BDKRB1|PTEN|DLG1|CNIH2|CACNA1D|RRAD|DNM2|CACNB2|DRD2|PLCG2|ADRA2A|DYSF|DLG2|OPRK1|PLN|CASQ2|GNB5|F2RL3|ATP1B3|CNKSR3|FXYD5|FXYD3|CAV1|CYBA|CRACR2A|KLHL24|FXYD6|FXYD2|G6PD|FXYD4|AGT|FGF11|VAMP2|BAX|NETO1|KCNAB3|NPPA|WWP2|NETO2|COMMD1|GLRX|KCNQ1|PLP1|KCNH2|HPCA|BPIFA1|ALG10B|FXYD7|KCNAB2|FXYD1|SRI|PM20D1|KCNG1|KCNN2|SLC9A1|CD63|NTSR1|SNTA1|PLCG1|KCNA1|CAB39|AKAP7|KCNIP2|GRIN1|TMC1|KCNJ2|MTNR1B|MYO5A|ANTKMT|BIN1|HAP1|ATP1B1|ATPSCKMT|YWHAH|GSTM2|CAMK2D|DNAJC30|ANK2|SCN2B|CACNA1C|FHL1|KCNIP3|AKAP6|HAMP|KCNE4|GPD1L|CACNA2D1|ACTN4|SUMO1|FKBP1A|TCIRG1|RNF207|CACNG3|IFNG|KCNE2|DIAPH1|SLMAP|GPER1|SCN3B|CLTRN|WNK2|CACNB3|GSG1L|PTPN3|KCNE3|MMP9|KCNE5|SCN4B|KCNIP1|REM1|GPR35|KCNE1|CACNB1|STOM|CCL2|CACNB4|SCN5A|KCNJ11|ISCU|STIM2|SLC31A2|TMEM38A|GALR2|TMEM38B|CASQ1|RYR2|CACNG5|COX17|LRRC55|NOS1AP|CACNG4|UBASH3B|MIR1-1|CBARP|MIR328|TWIST1|HTT|MIR153-1|KCNE1B|MIR153-2|MIR1-2|ADRB2|DHRS7C|TRPC1|AHNAK|SLC30A5|LRRC26|APP|THADA|VDAC1|PRKCE|SESTD1|NPSR1|EHD3|JPH1|ARF1|CTSS|P2RY6|OSR1|STAC3|KCNIP4|ANK3|SLC30A1|PLA2G6|TGFB1|CALCR|PDZK1|DRD1|CDK5|CX3CL1|SLC6A9|GEM|TSPAN13|MIR210|FYN|CRHBP|KCNRG|ATG5|CACNG1|NRXN1|F2R|RANGRF|ATP1B2|CRH|CAV3|GJC2|MIR26A1|RASGRF1|LACRT|STIMATE|PRNP|MIR26A2|DRD4|HOMER1|THY1|ATP2A1|UBQLN1|ITGB1|NIPSNAP2|SHISA6|MIR133A1|CRBN|MIR133A2|PIRT|SHISA8|GRIA2|CXCL11|CD19|ACTN2|PINK1|WNK3|PTPN6|DLG3|OPRM1|SHANK1|FLNA|SNCA|SHANK2|ASPH|KCNS1|CACNG6|STK39|DMD|GRIA3|TREM2|ANO6|ABL1|PRRT1|DRD3|PPIF|YWHAE|TACO1|KCNC1|FKBP1B|TLR9|FGF14|SHANK3|LYN|STAC2|AKAP9|CACNG8|WNK1|GRIN2B|TESC|PIK3CG|STAC|PARK7|NLGN1|IFNGR2|NEFL|RGS2|PHB2|CALM2|KCNC2|OXSR1|CEMIP|LRRC52|KIF5B|GSTO1|SLC8A1|NOS1|SLC9A3R1|CALM3|CCR2|TMC2|WNK4|PKD2|CAPN1|SHISA9|CXCL9|METTL21C|COA8|PCSK9|STRIT1|CRHR1|DPP6|APLNR|JPH3|HRC|CXCL10|FGF12|GRIA1|PTK2B|CLIC2|F2|PDPK1|AMIGO1|CALM1|GAL|HECW2|RGS4","regulation of cation transmembrane transport","363","ENR","GO:1904062","1.0","0.0012782672336916299","GO:1904062",,,"true","GO:1904062"
"7","0.9996000971733564",,"3.999028266436163E-4","GO:0010469
",,"CCL2|PHLDA2|NCOA3|ZFYVE28|TAFA1|PPARGC1A|NCAPG2|LDOC1|DAPK1|CACNG5|CACNG4|ADRA2B|BEGAIN|DLGAP4|CNIH3|ADRB2|RAMP3|APP|CHMP6|RELN|LYPD6|NLGN3|SOCS4|NOG|EREG|LYPD1|CHRFAM7A|DKKL1|CNRIP1|CACNG2|MAPK8IP2|ADRA2C|HFE|MED1|ARC|CALCR|CDK5|SLC6A9|DLG4|GRIA4|WFIKKN1|BTC|MTRNR2L4|NPTX2|CRHBP|PLAU|EPHB2|FNTA|NLGN2|MTRNR2L8|MTRNR2L10|MTRNR2L3|MTRNR2L1|SHISA7|MTRNR2L7|DLGAP1|PATE4|NRXN1|MTRNR2L12|PSEN1|DKK4|ADORA1|MTRNR2L11|MTRNR2L13|MTRNR2L6|LY6G6D|CRH|NEURL1|CAV3|EPGN|SOCS5|RASGRF1|PDE4D|MUC4|HOMER1|NCK2|AREG|DLGAP3|EGF|ESR2|P2RY1|ITGB1|SLURP2|SHISA6|FCGR2B|TSG101|CBL|MEF2C|SHISA8|MINK1|GRIA2|LYPD6B|ACTN2|CACNG7|FSHB|MTRNR2L5|PINK1|CBLC|DLG3|GRIN2A|OPRM1|DKK2|SHANK1|DLGAP2|RGS9|SRC|SHANK2|PTEN|DLG1|CNIH2|LILRB4|ADH7|GRIA3|WFIKKN2|NRP1|DKK3|LY6E|HMGB1|PRRT1|ADRA2A|DLG2|SLURP1|ZGPAT|TAFA4|SPINT3|CGA|BICD1|SHANK3|GREM1|CLEC12B|KLHL24|GPRC5A|AKAP9|CACNG8|NETO1|GRIN2B|IL18BP|NETO2|PPP2R5B|DKK1|IL10|TAL1|NLGN1|IFNGR2|AGTR2|NPTXR|NEFL|NCF1|LY6G6E|PATE1|SHC1|ADAM17|NPTX1|GRIN1|FBXW7|CCR2|CBLB|GREM2|TGFA|CAPN1|SHISA9|LY6H|SNX6|PRKCD|PCSK9|SERPINE1|HBEGF|CACNG3|VPS25|IFNG|GRIA1|LYNX1|PTK2B|LRPAP1|GSG1L|ERRFI1|PSCA","regulation of signaling receptor activity","177","ENR","GO:0010469","1.0","3.999028266436163E-4","GO:0010469",,,"true","GO:0010469"
"7","0.9959573841208587",,"0.004042615879141388","GO:2000310
",,"CCL2|CRHBP|DLG3|PPARGC1A|EPHB2|NLGN1|IFNGR2|GRIN2A|OPRM1|NEFL|DAPK1|RGS9|DLG1|CNIH2|NRXN1|GRIN1|GRIA3|APP|CCR2|CRH|RELN|RASGRF1|NLGN3|CAPN1|DLG2|MAPK8IP2|IFNG|GRIA1|PTK2B|MEF2C|GRIA2|ACTN2|GRIN2B|SLC6A9|PINK1|DLG4|GRIA4","regulation of NMDA receptor activity","37","ENR","GO:2000310","1.0","0.004042615879141388","GO:2000310",,,"true","GO:2000310"
"7","0.994628970235578",,"0.005371029764422075","GO:0006816
",,"NOS3|CHERP|TRPV2|STIM1|OPA1|CAPN3|ITPR3|PKD1|FMR1|LIME1|CATSPER2|DDIT3|CXCR3|AL121845.2|AL121845.3|BAK1|CD33|CTNNB1|TRPC4AP|ATP2B4|PML|SPHK2|SELENOK|CACNA2D2|TRPC7|CHD7|PRKACA|GRIN2D|GRIN2A|PTGS2|RGS9|BCL2|BDKRB1|CREB3|ADCYAP1R1|NMUR2|DYSF|PLN|TRPV1|CASQ2|F2RL3|CYBA|CRACR2A|G6PD|MCUB|CACNA1E|LILRB2|BAX|PKD2L1|NPPA|CATSPER1|CHRNA7|HPCA|ICAM1|MCUR1|GRIN1|TMC1|MCOLN3|PKD1L1|SLC25A23|CAMK2A|FKBP1A|CACNG3|PDGFB|MYLK|CACNA1I|PKD2L2|REM1|CACNB1|ATP2B3|CCL2|TRPM5|SLC8B1|STIM2|TMEM38A|SARAF|ATP2A3|TMEM38B|EPPIN|CASQ1|SLC24A1|ORAI2|CACNG5|EFHB|CACNG4|UBASH3B|GRAMD2A|CBARP|ORAI3|GJA4|CRACR2B|TSPO|HTT|AC002985.1|ORAI1|CACNA1S|MS4A1|TRPM3|AHNAK|P2RX5|NALCN|VDAC1|PPP3CA|RHOA|JPH1|CAMK2G|PLA2G6|TGFB1|CALCR|DRD1|CDK5|CX3CL1|STOML2|CUL5|TSPAN13|CD4|FYN|MICU1|CACNG1|RCVRN|PKD1L3|CASR|GJC2|P2RX1|PRNP|GRIN3B|DRD4|GRM6|CATSPER4|PANX1|MIR133A1|CALCA|MIR133A2|CYP27B1|CXCL11|CD19|VDR|PTPN6|TRPM1|TRPV5|CACNA1H|OPRM1|LCK|P2RX7|CACNG6|SLC25A25|ANO6|ABL1|PDGFRB|STC2|YWHAE|ANXA2|TRIM27|FGF14|FAM155B|HTR2A|RYR1|SLC24A4|ANXA6|STAC2|CACNG8|WNT3A|PMPCB|TPT1|PIK3CG|STAC|PHB2|SEC61A1|CALM2|ATP2B1|CCL8|GSTO1|NOS1|CALM3|TMC2|PKD2|CACNA2D4|CXCL9|CRHR1|JPH3|TRPM4|CXCL10|EPPIN-WFDC6|CSN2|GNAI2|PTK2B|SLC24A2|CLIC2|GCG|YME1L1|CALM1|ATP2B2|CACNA2D3|RGS4|CCN2|GRIN2C|TMCO1|TPCN2|ANXA9|ADRA1A|TRPM8|LILRA2|CXCR4|PRKD1|RAMP3|SLC24A3|PSEN2|IL13|MIR21|SLN|SEMG1|CACNA1A|TRDN|CAMK2B|CCR7|ATP1A2|CACNG2|CLCA1|OPRL1|CHRNA10|CACNA1F|JSRP1|SLC8A3|PTPRC|JPH2|PDE4B|BEST1|BBC3|INPP5K|HOMER3|HSPA2|OPRD1|ITPR2|PMPCA|PTPN22|PACSIN3|JPH4|MICU3|HOMER2|ITPR1|HTR2B|CHRNA4|CCL21|NCS1|PDE4D|CACHD1|ASIC1|ITGAV|NMUR1|EPO|FGF2|EGF|P2RX2|PKDREJ|ERO1A|RGN|PARL|SELENON|FFAR1|CORO1A|NOL3|MAIP1|RAMP2|CACNG7|MCOLN2|XCL1|CXCL12|CASK|TRPV6|DNM1L|CACNA1B|MICU2|P2RY12|MCU|CACNA1D|PKD1L2|HTR2C|RRAD|HCRT|SPG7|CACNB2|DRD2|TRPV3|IL16|PLCG2|ADRA2A|ATP2A2|GNB5|LETM1|CAV1|GCK|GRIN3A|AGT|CACNA1G|PLP1|PTH|SRI|SLC9A1|TMEM37|NTSR1|WFS1|P2RX3|PLCG1|CCR5|FCRL3|TRPV4|SLC8A2|ATP2C1|P2RX4|MYO5A|ATP2C2|TRPC6|TRPC5|KCNN4|BIN1|HAP1|ATP1B1|GSTM2|MCOLN1|ADORA2A|CAMK2D|ANK2|CACNA1C|AKAP6|SLC35G1|CCR1|CACNA2D1|SUMO1|SLC11A2|KCNE2|TRPC3|DIAPH1|GPER1|PLCZ1|CACNB3|FASLG|KCNE3|GPR35|ZMPSTE24|TRPC4|CACNB4|TMEM165|SLC24A5|SMDT1|RYR2|NOS1AP|ARRB2|MIR1-1|MIR328|MIR1-2|DHRS7C|TRPC1|TRPM2|THADA|PLA2G1B|PRKCE|TPCN1|LPAR3|SESTD1|NPSR1|EHD3|TRPM7|AFG3L2|P2RY6|STAC3|SLC30A1|CALHM1|CCL19|GEM|CHRNA9|PRKCB|ATG5|PLPP4|FAM155A|PSEN1|BHLHA15|F2R|CDH23|CRH|MCHR1|CAV3|GAS6|EPM2A|LACRT|GPM6A|STIMATE|TMBIM6|HOMER1|THY1|RASA3|ATP2A1|UBQLN1|NIPSNAP2|LILRA5|MRLN|GJA1|CATSPER3|WNK3|EPB41|CHRNB2|TRPM6|BSPRY|SNCA|ASPH|DMD|RYR3|GNAO1|TRPA1|DRD3|STC1|FKBP1B|TLR9|AC068547.1|CALCRL|LYN|IBTK|SLC3A2|CCL5|LGALS3|AP003071.5|GRIN2B|CCL4|CCL3|MIR424|CEMIP|CYSLTR1|XCR1|SLC8A1|RAMP1|METTL21C|STRIT1|APLNR|HRC|MIR34A|UCN|PHB|F2|PDPK1|CD84|SPINK1","calcium ion transport","440","ENR","GO:0006816","1.0","0.005371029764422075","GO:0006816",,,"true","GO:0006816"
"7","0.9998378947695958",,"1.621052304042071E-4","GO:0099601
",,"CCL2|DLG3|PPARGC1A|GRIN2A|OPRM1|SHANK1|DAPK1|DLGAP2|CACNG5|RGS9|SRC|CACNG4|SHANK2|DLG1|CNIH2|BEGAIN|DLGAP4|CNIH3|ADRB2|GRIA3|APP|RELN|LYPD6|NLGN3|PRRT1|DLG2|SLURP1|CHRFAM7A|CACNG2|MAPK8IP2|SHANK3|ARC|KLHL24|AKAP9|CDK5|CACNG8|NETO1|GRIN2B|NETO2|SLC6A9|DLG4|GRIA4|NPTX2|CRHBP|EPHB2|NLGN1|IFNGR2|NPTXR|NEFL|FNTA|LY6G6E|NLGN2|PATE1|SHISA7|DLGAP1|PATE4|NRXN1|NPTX1|GRIN1|CCR2|CRH|RASGRF1|CAPN1|SHISA9|HOMER1|DLGAP3|CACNG3|IFNG|SLURP2|SHISA6|GRIA1|LYNX1|PTK2B|GSG1L|MEF2C|SHISA8|MINK1|GRIA2|LYPD6B|ACTN2|CACNG7|PINK1|PSCA","regulation of neurotransmitter receptor activity","83","ENR","GO:0099601","1.0","1.621052304042071E-4","GO:0099601",,,"true","GO:0099601"
"10","0.9953357552253963",,"0.004664244774603727","GO:0030534
",,"HOXB8|CHL1|ZIC1|SLITRK6|ARCN1|ID2|GDNF|ARRB2|DBH|HTRA2|NRXN3|APP|TSHR|ABAT|CNTN2|PREX2|BTBD9|CSTB|FOXA2|NLGN3|CACNA1A|ALK|ADAM2|USP46|SLC7A11|BBS2|PAFAH1B1|NCSTN|ATP1A2|KLHL1|CTNS|EPS8|BRS3|INPP5F|DRD1|CDK5|SPTBN2|KCNJ10|CHRNA3|ASIP|OPRD1|CRHBP|NLGN4X|MAFG|GLRA1|NTF4|CHRNB1|HOXD9|ZFHX2|NRXN1|OTOG|HOXD10|CARTPT|HOMER2|CHRNA4|PCDH15|HIPK2|GABRG2|TRH|NRXN2|DRD4|HOMER1|DMRT3|GLRB|CHRNB4|PCDH17|SEPTIN5|PPT1|PPP1R1B|AGTPBP1|OXR1|PAX5|CHD7|CEND1|GRIN2D|PRKN|CHRNB2|HDAC2|OPRM1|TMOD1|SHANK1|SNCA|CXCL12|SHANK2|PTEN|PPARA|SDK1|EFNB3|ADAM22|GHRL|DRD2|GIGYF2|DRD3|PUM1|CHRNA5|PBX3|GBX1|OPRK1|NR4A2|SNCG|EHMT2|SLITRK5|GIP|HTR2A|AGRP|LEP|UCHL1|DMBX1|SPTBN4|SLC1A2|CCND2|CHRNA7|UNC79|PARK7|NTSR1|EN1|FXN|NPC1|GRIN1|NPY|RNF180|SEZ6L2|SCN1A|MECP2|DAB1|ABHD12|CNTNAP2|TSC1|FADD|CRHR1|CLN8|SLITRK1|FGF12|SEZ6L|ATP6V1B1|LGI4|NTAN1|EPHA4|NR4A3|GHSR|SEZ6|BBS4|ZMPSTE24|CNP","adult behavior","144","ENR","GO:0030534","1.0","0.004664244774603727","GO:0030534",,,"true","GO:0030534"
"10","0.9999998348544251",,"1.6514557483093814E-7","GO:0050890
",,"CBR3|HRH1|KMT2B|GPR155|CCK|DBH|NRXN3|GRM5|RP9|EIF4A3|CNTN2|FZD9|PTCHD1|CX3CR1|NQO2|RELN|GATM|NLGN3|ITPR3|ITGA3|ABCC8|TAC1|VDAC3|MAPT|SLC7A11|RAG1|PAFAH1B1|NEUROD2|ATP1A2|MAPK8IP2|GABRA5|GABRB3|MAGT1|OPRL1|FGF13|PRKAR1B|CTNS|GMFB|KCNK2|APOE|SNAP25|CLDN5|SLC8A3|PICALM|SLC1A4|ARC|SLC6A1|BHLHB9|EP300|ITGA8|SETD5|THRA|DLG4|ARF4|CHRM1|PIAS1|NLGN4X|EPHB2|NLGN4Y|KCNAB1|NTF4|JPH4|TLR2|SHISA7|NGF|JUN|ADORA1|EIF2AK4|CYFIP1|HRH3|CHRNA4|SLC17A7|NRXN2|ASIC1|DRD5|PLK2|SLC2A4|SYNPO|LCE1D|PDE1B|FOS|PRKCG|CIC|MEF2C|PPT1|BTG2|SYT11|BRSK1|PPP1R1B|ZNF385A|GPI|INSR|CHD7|PTPRZ1|SERPINF1|PRKN|GLP1R|GRIN2A|PTGS2|NPAS4|TACR2|PTEN|RIN1|DDHD2|PAK5|PPP3CB|NFATC4|KRAS|CEBPB|TPBG|DGKI|SYNJ1|NTRK2|RIC8A|BRINP1|C12ORF57|SHC3|ATP8A1|DRD2|OPRK1|HRH2|TNR|LILRB2|AGT|NETO1|CPEB3|CREB1|CCND2|GNAS|DKK1|SGK1|NPTN|CHRNA7|FOSL1|BRAF|RCAN1|AMFR|FOXO6|EGR2|NTSR1|SLC8A2|CUX2|GRIN1|DEAF1|COMT|AAAS|SCN2A|SRF|STRA6|METTL23|MAPK1|ATXN1L|ADCY3|LHCGR|ACTR2|TNF|KLK8|TTC36|SLC11A2|CLN8|ATAD1|TH|UBA6|HIF1A|ADCY8|SYT4|OXTR|LDLR|BBS4|ADNP|GPR88|LGMN|CHL1|KCNK4|DGCR2|OXT|NEUROG1|GALR2|NPS|HTT|RGS14|PLCB1|APP|ATXN1|PAK6|TMPRSS11E|CSMD1|BTBD9|VDAC1|NSUN5|GM2A|ADAM2|KCNK10|NCSTN|FOXP2|B2M|CCL11|PLA2G6|DRD1|ST3GAL4|TUSC3|CDK5|DNAH11|PTN|CRTC1|FAM107A|NPTX2|FYN|CRHBP|MEIS2|RTL4|VIP|EGFR|NRXN1|PSEN1|TBR1|VLDLR|KAT2A|CRH|YTHDF1|SOBP|RASGRF1|EPM2A|ABCA7|RPS6KB1|PRNP|CALB1|SLC6A4|PRKCZ|PPP1R9B|BCHE|NTF3|IFT20|B4GALT2|ITGB1|PRKAR2B|SLC12A5|FEN1|LRRN4|GRPR|MME|NF1|SYNGAP1|S100B|C5AR1|CHRNB2|SHANK1|MGAT3|GALR3|TMOD2|SHANK2|ELAVL4|TAFA2|C1QL1|LMX1A|PJA2|NTRK1|AGER|MTOR|KIT|PRRT1|DRD3|ADCY1|TACO1|EHMT2|TTC8|GIP|POMK|HTR2A|LINS1|SHANK3|NDRG4|INS|TACR1|DOP1B|MUSK|MFSD2A|GRIN2B|CAMK4|ITGA5|HLA-DRA|TTBK1|LHX8|CHMP2B|EN1|OR52B4|EIF4EBP2|FOXB1|CNR1|TANC1|MECP2|ADGRB3|MAP1A|JAKMIP1|CNTNAP2|ADGRF1|CRHR1|JPH3|NRGN|GTF2A1L|UCN|HMGCR|BDNF|PAIP2|GRIA1|SLC24A2|AFF2|DCANP1|SORCS3|NTAN1|TIFAB|NIPBL|CLN3|GHSR|CASP3|SHROOM4","cognition","316","ENR","GO:0050890","1.0","1.6514557483093814E-7","GO:0050890",,,"true","GO:0050890"
